Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,check_CE
Hunt,value-10,DBCE,DBCE,0,0,9.258096933247074,429.6462809238712,2.0400315747792774e-06,0.0003361208485693939,False,9.019437019514369
Hunt,value-10,DBCE,DBCE,0,1,9.363858529617634,427.8212951835389,1.912074072407677e-06,0.003571463364835787,False,2.5489700672433266
Hunt,value-10,DBCE,DBCE,0,2,9.437675387876352,428.4930556289331,2.6457144883806905e-06,0.005362569320910947,False,0.07344092071854215
Hunt,value-10,DBCE,DBCE,0,3,9.439940105223132,428.5148242623473,2.1181013369897528e-06,0.005334276587694811,False,0.005339458892771331
Hunt,value-10,DBCE,DBCE,0,4,9.437190148033144,428.4897891352456,2.0859980196519246e-06,0.005296708330192299,False,0.00530189057208442
Hunt,value-10,DBCE,DBCE,0,5,9.421241291343888,428.3446812408594,0.0005783940360792883,0.0054731206257027255,False,0.17918500546896868
Hunt,value-10,DBCE,DBCE,0,6,9.426658672808433,428.3916083086789,2.907200091328832e-06,0.005447117200559938,False,0.005452319889935052
Hunt,value-10,DBCE,DBCE,0,7,9.419602852519251,428.322463647507,8.56068640153751e-06,0.005420556248851032,False,0.00542580898710573
Hunt,value-10,DBCE,DBCE,0,8,9.410002559863198,428.23794427368813,2.793016669500048e-06,0.005402403098677977,False,0.06493487363259422
Hunt,value-10,DBCE,DBCE,0,9,9.411520770880339,428.2371715855045,3.193866550788016e-06,0.005361064406815202,False,0.005355007074478638
Hunt,value-10,DBCE,DBCE,0,10,9.404601247948518,428.18933013386464,3.2495292821010935e-06,0.005344528491479409,False,0.005349685776874472
Hunt,value-10,DBCE,DBCE,0,11,9.396140236703436,428.11071517665243,2.7306814942562596e-06,0.00532383483762885,False,0.005346279927241688
Hunt,value-10,DBCE,DBCE,0,12,9.396396732652796,428.11452504132905,2.4151199724542494e-06,0.005120034203301316,False,0.34977294216683574
Hunt,value-10,DBCE,DBCE,0,13,9.405600152399881,428.1992932109765,1.9250049909658173e-06,0.005114231885799723,False,0.13680651267159494
Hunt,value-10,DBCE,DBCE,0,14,9.409243623792932,428.23329582823277,1.840655499105165e-05,0.005106938233071378,False,0.18796195692915357
Hunt,value-10,DBCE,DBCE,0,15,9.413885837580331,428.27592732356555,2.2741002254633713e-06,0.00509757149534138,False,0.1759554210992383
Hunt,value-10,DBCE,DBCE,0,16,9.418635126162718,428.3199065614521,2.350013488694458e-06,0.0050860392661150325,False,0.43084283775845134
Hunt,value-10,DBCE,DBCE,0,17,9.42969941805374,428.42374633294264,1.8699470754057756e-06,0.005050416772952667,False,0.005072084019972736
Hunt,value-10,DBCE,DBCE,0,18,9.426983797494678,428.39918682986234,3.3289263762247326e-06,0.005046948258725802,False,0.005085142956951469
Hunt,value-10,DBCE,DBCE,0,19,9.42407628598283,428.3720342604464,1.8576189724228698e-06,0.005049822687290795,False,0.005071630227959643
Hunt,value-10,DBCE,DBCE,0,20,9.41463141023292,428.28479813574666,2.533433470119917e-06,0.0050637476923806116,False,0.005069008575524751
Hunt,value-10,DBCE,DBCE,0,21,9.408381628458317,428.2252620529578,2.243187402939384e-06,0.005084330563151091,False,0.2890335180326556
Hunt,value-10,DBCE,DBCE,0,22,9.415866670893223,428.29454935065274,2.2807814588077235e-06,0.005079249311093864,False,0.09553087631136747
Hunt,value-10,DBCE,DBCE,0,23,9.418323538682326,428.3174755100219,2.273663362473144e-06,0.0050869294997446905,False,0.005108815261285133
Hunt,value-10,DBCE,DBCE,0,24,9.411820100015367,428.2575059659647,2.217888379618671e-06,0.005099010914770824,False,0.0051209780725574635
Hunt,value-10,DBCE,DBCE,0,25,9.405027591677946,428.1867354899235,2.180568237974967e-06,0.006081174941663551,False,0.18108395384453221
Hunt,value-10,DBCE,DBCE,0,26,9.409591563944678,428.228236322989,2.665577767402283e-06,0.006116252141506242,False,0.06978927788189343
Hunt,value-10,DBCE,DBCE,0,27,9.411306004963253,428.24426228651953,2.2229578426902208e-06,0.006145737598300944,False,0.29931997742990324
Hunt,value-10,DBCE,DBCE,0,28,9.421351404356335,428.337789796789,2.761323052880016e-06,0.00526457489201063,False,0.4230728360381982
Hunt,value-10,DBCE,DBCE,0,29,9.41459293098007,427.8132698107265,3.6557443223728114e-06,0.00528557771073686,False,16.72315450729256
Hunt,value-10,DBCE,DBCE,0,30,8.175112371337296,414.32268248229866,0.0007338112416093168,0.005245589549565315,False,5.554893942984337
Hunt,value-10,DBCE,DBCE,0,31,9.389776615869172,428.97617375684626,4.233764891211805e-05,0.11817921299686643,False,0.11818091204501094
Hunt,value-10,DBCE,DBCE,0,32,9.373027019088656,428.7550770619216,4.9691913433791424e-05,0.13971249052349444,False,0.13928242844681146
Hunt,value-10,DBCE,DBCE,0,33,9.362346605813194,428.65172015348446,5.3512558401080934e-05,0.15064203577278287,False,0.1506442847980153
Hunt,value-10,DBCE,DBCE,0,34,9.116343012548466,465.4770810764246,0.04802731041336017,0.832862028856422,False,0.875450951715186
Hunt,value-10,DBCE,DBCE,0,35,9.321914772410066,428.64961908197165,8.538602915556381e-05,0.16904003507307613,False,0.16904253888197798
Hunt,value-10,DBCE,DBCE,0,36,9.304360803408448,428.3973745590856,6.604772831764194e-05,0.1827745636726285,False,0.18094618318858202
Hunt,value-10,DBCE,DBCE,0,37,9.359394410256456,429.18017585332905,0.0008502629419488983,0.19418614046746227,False,0.19351360049819552
Hunt,value-10,DBCE,DBCE,0,38,9.351468821446158,428.69917139327106,7.426772610316656e-05,0.21139232555691717,False,0.20989892405436666
Hunt,value-10,DBCE,DBCE,0,39,9.343997609180445,428.62867023357916,7.72751542363892e-05,0.22040805405482422,False,0.21799890203626535
Hunt,value-10,DBCE,DBCE,0,40,9.334183062609045,428.59651721550176,8.067356478100307e-05,0.23057510649674834,False,0.22971167848229793
Hunt,value-10,DBCE,DBCE,0,41,9.327634733730077,428.47858791976,8.21401605612948e-05,0.23419904701937597,False,0.23152607349286614
Hunt,value-10,DBCE,DBCE,0,42,9.326775771471581,428.5302312314825,8.26968952560847e-05,0.23726303245810945,False,0.23634268306228312
Hunt,value-10,DBCE,DBCE,0,43,9.321899522252775,428.4197271037915,8.484150478318964e-05,0.2440171742551908,False,0.24209173630495545
Hunt,value-10,DBCE,DBCE,0,44,9.318023485997337,428.4008371332184,8.586091592838185e-05,0.2473436137024092,False,0.2433036937404749
Hunt,value-10,DBCE,DBCE,0,45,9.312981466220148,428.3526086842122,8.662443053891744e-05,0.24987242418942446,False,0.24451111138999576
Hunt,value-10,DBCE,DBCE,0,46,9.30754221933287,428.3036314520107,8.697491003670232e-05,0.25150766621243587,False,0.25038899157209576
Hunt,value-10,DBCE,DBCE,0,47,9.310990762724618,428.3244345764983,0.005945942417144412,0.253937110404302,False,0.25393935820735336
Hunt,value-10,DBCE,DBCE,0,48,9.301354057968773,428.2163643152664,8.920199821105257e-05,0.2586312922509898,False,0.25745046546824324
Hunt,value-10,DBCE,DBCE,0,49,9.274019651306089,431.66251628362,0.006122987261855837,0.26087915666052114,False,0.25967032343048824
Hunt,value-10,DBCE,DBCE,0,50,9.296201754974017,428.17016612759073,9.057578391846732e-05,0.2628639862365785,False,0.25787075066657955
Hunt,value-10,DBCE,DBCE,0,51,8.985034258557537,431.8171915448564,0.033361051207815295,0.6652371037725763,False,0.6884482747345763
Hunt,value-10,DBCE,DBCE,0,52,9.280063544052007,428.0706363197344,9.108411523556237e-05,0.26496985971813963,False,0.2635578524008085
Hunt,value-10,DBCE,DBCE,0,53,9.282893040799182,428.0199170430866,9.235859690548409e-05,0.27030934787582994,False,0.2659222021781944
Hunt,value-10,DBCE,DBCE,0,54,9.267000084863799,427.830797739906,9.318210197735244e-05,0.2718177910266706,False,0.27182055069634276
Hunt,value-10,DBCE,DBCE,0,55,9.275344730409378,427.9389051582908,9.380815642501261e-05,0.27512487794981694,False,0.2735621015023156
Hunt,value-10,DBCE,DBCE,0,56,9.27318818659605,427.9162949009024,9.601849820839448e-05,0.2761737685124086,False,0.2697856518168211
Hunt,value-10,DBCE,DBCE,0,57,9.268166080556446,427.85327264489337,0.00010607080238145272,0.27569917712741476,False,0.27404721985537434
Hunt,value-10,DBCE,DBCE,0,58,9.263650891829087,427.80848039992907,0.00013903039169704812,0.2792922850470837,False,0.26881637537493486
Hunt,value-10,DBCE,DBCE,0,59,9.256338047665716,427.7654451514546,9.374200476851998e-05,0.2771777826254527,False,0.27351391502791056
Hunt,value-10,DBCE,DBCE,0,60,9.250187930795335,427.64329215833925,9.465870229222184e-05,0.2803934018954903,False,0.2727511246140276
Hunt,value-10,DBCE,DBCE,0,61,9.001299457573072,438.1358549573489,0.029125151571580687,0.5502250264571787,False,0.5392694624380932
Hunt,value-10,DBCE,DBCE,0,62,9.237204492592575,427.52935188175957,9.488983935851403e-05,0.27992020697824566,False,0.2735506616215249
Hunt,value-10,DBCE,DBCE,0,63,9.230285687318569,427.39965523995636,9.47630459471327e-05,0.2813317633988988,False,0.265782571056422
Hunt,value-10,DBCE,DBCE,0,64,9.163655377296744,428.64194976405355,0.004269469804153658,0.27924323067490525,False,0.27683269413726197
Hunt,value-10,DBCE,DBCE,0,65,9.213808605831822,427.18778064397213,9.359647582685149e-05,0.2794945163663339,False,0.2720810455715405
Hunt,value-10,DBCE,DBCE,0,66,9.206946834734746,427.10070550265607,9.314052798525818e-05,0.27856824389269097,False,0.26055859838145895
Hunt,value-10,DBCE,DBCE,0,67,9.191582773316604,426.90881917304046,9.15211828210194e-05,0.27400455955609704,False,0.25732706941640165
Hunt,value-10,DBCE,DBCE,0,68,9.183625480735051,525.2078163236772,0.22864540992218352,4.869751861716033,False,4.862502667814223
Hunt,value-10,DBCE,DBCE,0,69,9.115116764763666,427.043509044166,0.001976123469663804,0.26681930214297667,False,0.26075923742369234
Hunt,value-10,DBCE,DBCE,0,70,9.112243714342187,426.0042129247901,0.00027547173171171835,0.2672264454510848,False,0.2544890665152819
Hunt,value-10,DBCE,DBCE,0,71,9.0931019240492,425.5977734203281,8.939094499282874e-05,0.26305985765024276,False,0.25301027180652147
Hunt,value-10,DBCE,DBCE,0,72,7.019183550687124,457.7784780220701,0.12655463928204114,3.141886641768912,False,3.0047796595588414
Hunt,value-10,DBCE,DBCE,0,73,8.967884943795577,424.3903791261685,8.317640386967806e-05,0.24932685472093488,False,0.2457754733046328
Hunt,value-10,DBCE,DBCE,0,74,8.967606323588445,424.3981323402722,8.216332846799901e-05,0.2447027939812017,False,0.23394290206970286
Hunt,value-10,DBCE,DBCE,0,75,8.622817941689256,391.1218770775509,0.2919435102385828,123.59146732584898,False,100.59939141602442
Hunt,value-10,DBCE,DBCE,0,76,8.951550009145219,424.1846458596684,7.94315622371089e-05,0.23867220040652118,False,0.23481865449648479
Hunt,value-10,DBCE,DBCE,0,77,8.948660117670265,424.1534844570849,7.876516796700983e-05,0.23690661147194517,False,0.2329841486089033
Hunt,value-10,DBCE,DBCE,0,78,8.949361612070742,424.16319838288484,7.746638369587888e-05,0.23313862292437754,False,0.22111168031590583
Hunt,value-10,DBCE,DBCE,0,79,8.941778299395231,424.07227242832977,7.51296852286032e-05,0.22644699294245021,False,0.20984447364693534
