Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,check_CE
CaEParam,balance,DBCE,DBCE,0,0,0.6901359558105469,378.7380184644834,14.83795166015625,16.132436752319336,False,8.543608665466309
CaEParam,balance,DBCE,DBCE,0,1,0.39464378356933594,412.3747655832907,25.403093338012695,280.970947265625,False,12.096973419189453
CaEParam,balance,DBCE,DBCE,0,2,0.9115333557128906,318.66612656157815,32.60861587524414,98.45108795166016,False,65.9747543334961
CaEParam,balance,DBCE,DBCE,0,3,1.1565418243408203,375.17566826376134,47.03950500488281,117.47249603271484,False,112.05596160888672
CaEParam,balance,DBCE,DBCE,0,4,0.008867263793945312,352.0641597273701,21.310813903808594,80.88129425048828,False,75.43065643310547
CaEParam,balance,DBCE,DBCE,0,5,4.8066864013671875,306.12490210145484,43.06157302856445,200.12997436523438,False,198.24166870117188
CaEParam,balance,DBCE,DBCE,0,6,36.720436096191406,392.57939959942314,22.941362380981445,228.72943115234375,False,210.51907348632812
CaEParam,balance,DBCE,DBCE,0,7,7.089677810668945,379.48274424630733,40.10625076293945,310.74072265625,False,310.36761474609375
CaEParam,balance,DBCE,DBCE,0,8,0.7070541381835938,382.21439538538107,17.78715705871582,402.6800842285156,False,394.0046691894531
CaEParam,balance,DBCE,DBCE,0,9,0.08624267578125,346.0534648436173,35.2519416809082,137.79934692382812,False,137.86940002441406
CaEParam,balance,DBCE,DBCE,0,10,12.92724609375,349.56223859498135,51.30598831176758,107.9110107421875,False,107.88565826416016
CaEParam,balance,DBCE,DBCE,0,11,4.46995735168457,362.9383200865941,46.992862701416016,124.07177734375,False,119.0952377319336
CaEParam,balance,DBCE,DBCE,0,12,0.4947509765625,283.6441957889394,15.965831756591797,91.33521270751953,False,86.92257690429688
CaEParam,balance,DBCE,DBCE,0,13,0.8736038208007812,276.2561759116128,43.66660690307617,63.87067794799805,False,63.735084533691406
CaEParam,balance,DBCE,DBCE,0,14,0.3930473327636719,375.5268125715259,32.835453033447266,143.74070739746094,False,143.6990203857422
CaEParam,balance,DBCE,DBCE,0,15,3.253507614135742,440.71103932854686,38.747032165527344,230.9109649658203,False,193.8936004638672
CaEParam,balance,DBCE,DBCE,0,16,15.706119537353516,413.9936898602217,15.95640754699707,329.4779357910156,False,262.710693359375
CaEParam,balance,DBCE,DBCE,0,17,0.050754547119140625,393.5593763284986,36.565643310546875,202.5372314453125,False,178.8476104736328
CaEParam,balance,DBCE,DBCE,0,18,0.7381935119628906,372.1828920220906,31.64539337158203,170.05564880371094,False,167.67332458496094
