Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,check_CE
Hunt,MDCE,MaxRew,ModRew,0,0,0.5001176552396531,423.4409716272087,0.010658271292946608,0.3673870801182193,False,9.321306969755591
Hunt,MDCE,MaxRew,ModRew,0,1,4.85436785992987,353.16193338739737,0.0025607560712899158,3.529175749733933,False,12.294354445168992
Hunt,MDCE,MaxRew,ModRew,0,2,0.953730995226106,424.80129362694504,0.0006613351898335229,0.5142582671813762,False,1.059364010680512
Hunt,MDCE,MaxRew,ModRew,0,3,5.567776398946214,357.52889453682275,0.000399473949197926,0.5411176357641903,False,0.7679348937127756
