Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,check_CE
Hunt,MDCE,DBCE,DBCE,0,0,19.955627098370798,188.25330633127186,0.00022777650502980862,0.01085989611818354,False,14.594963224053917
Hunt,MDCE,DBCE,DBCE,0,1,24.337095061985494,149.0420734361768,1.2312073343068164e-06,0.000562930638199531,False,17.242034797442276
Hunt,MDCE,DBCE,DBCE,0,2,15.720613580014325,248.66167774926328,0.010670799135215958,0.002750806981455994,False,0.0028001759627194066
Hunt,MDCE,DBCE,DBCE,0,3,22.500133435170202,157.84459310056678,1.7367124924838606e-06,0.0006821520266835508,False,0.6387253605919643
Hunt,MDCE,DBCE,DBCE,0,4,5.957682066544155,370.56394000240584,2.8235892735040125e-06,0.0006873498515058825,False,0.000700184604455296
Hunt,MDCE,DBCE,DBCE,0,5,22.41531144172114,158.28237154199908,1.0758514026321109e-06,0.0006921662917085803,False,0.5587203531248051
Hunt,MDCE,DBCE,DBCE,0,6,22.01140565850563,162.0853885858425,1.3196970485296333e-06,0.0006963518174806836,False,0.5979508064952519
Hunt,MDCE,DBCE,DBCE,0,7,3.661474793976125,396.46160285035603,1.1198946139323596e-05,0.0006923505688094894,False,0.0007038585084524107
Hunt,MDCE,DBCE,DBCE,0,8,8.322643457180934,3420.038691500101,38.19568146050483,0.0501312803128868,False,0.05014740541801736
Hunt,MDCE,DBCE,DBCE,0,9,21.122206049799214,169.93360671527336,1.1937008963514018e-06,0.0007143561330159406,False,0.48370297875661983
Hunt,MDCE,DBCE,DBCE,0,10,6.609389022269301,367.49673191309506,0.0785140822343422,0.0009104663877171469,False,0.00093807060413352
Hunt,MDCE,DBCE,DBCE,0,11,20.825829957343792,172.77671626378364,1.1220427662550492e-06,0.0007253301085358528,False,0.448031728157126
Hunt,MDCE,DBCE,DBCE,0,12,5.136804080245609,372.5105863610257,7.245032994408762e-05,0.0005777883340546117,False,0.0005851989469590425
Hunt,MDCE,DBCE,DBCE,0,13,3.2407406096645377,404.8700683638654,2.7608375319232437e-06,0.0003273444248980163,False,0.011575522699772153
Hunt,MDCE,DBCE,DBCE,0,14,14.113337864645507,258.01381451534775,1.7322599177305165e-06,0.0007449306094573621,False,0.029314219360749277
Hunt,MDCE,DBCE,DBCE,0,15,14.004985141585752,264.39537192775464,0.13560041200911144,0.008931769704768774,False,0.008935335132670745
Hunt,MDCE,DBCE,DBCE,0,16,19.776949210648187,182.15190937187316,1.6904701638509323e-06,0.0007568034627673833,False,0.4487265735951844
Hunt,MDCE,DBCE,DBCE,0,17,3.931363307799927,387.7444364669086,1.4758274723192244e-05,0.0007518949418084572,False,0.0007626003779277448
