Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,check_CE
CaEParam,balance,DBCE,DBCE,0,0,30.73479461669922,340.2150463285782,23.72649383544922,13.210090637207031,False,36.21499252319336
CaEParam,balance,DBCE,DBCE,0,1,18.528003692626953,353.4857052848787,38.724769592285156,21.784704208374023,False,15.928122520446777
CaEParam,balance,DBCE,DBCE,0,2,4.197992324829102,320.32976708574137,24.92191505432129,11.917949676513672,False,12.719578742980957
CaEParam,balance,DBCE,DBCE,0,3,37.2945442199707,294.237763344222,26.500019073486328,5.109597206115723,False,5.091160297393799
CaEParam,balance,DBCE,DBCE,0,4,44.99612045288086,291.9209043758725,24.833345413208008,5.2216691970825195,False,5.4438018798828125
CaEParam,balance,DBCE,DBCE,0,5,34.632423400878906,310.41017706112626,7.959177494049072,4.189956188201904,False,3.836547613143921
CaEParam,balance,DBCE,DBCE,0,6,23.547801971435547,341.4160886949908,18.456436157226562,4.847001075744629,False,4.3387651443481445
CaEParam,balance,DBCE,DBCE,0,7,12.414652824401855,388.91697466060276,56.3121337890625,5.586150646209717,False,139.7130889892578
CaEParam,balance,DBCE,DBCE,0,8,15.23871898651123,395.8941963774892,59.60142135620117,141.2882843017578,False,260.7499694824219
CaEParam,balance,DBCE,DBCE,0,9,18.080842971801758,379.10999566507616,53.9266471862793,229.2022247314453,False,311.40655517578125
CaEParam,balance,DBCE,DBCE,0,10,19.602767944335938,355.4767616391972,45.379974365234375,260.0185852050781,False,315.02471923828125
CaEParam,balance,DBCE,DBCE,0,11,19.750028610229492,330.13822175273305,35.58518600463867,247.83018493652344,False,275.5364074707031
CaEParam,balance,DBCE,DBCE,0,12,21.878629684448242,305.8121463914955,24.86980438232422,148.6610107421875,False,157.85247802734375
CaEParam,balance,DBCE,DBCE,0,13,1.2662640810012817,270.37717591731143,1.0162640810012817,2.271442413330078,False,2.0960166454315186
CaEParam,balance,DBCE,DBCE,0,14,28.557058334350586,319.4986292073713,45.19475173950195,631.6084594726562,False,631.450439453125
CaEParam,balance,DBCE,DBCE,0,15,96.3944320678711,368.37030437802474,97.94671630859375,1035.898681640625,False,1021.2849731445312
CaEParam,balance,DBCE,DBCE,0,16,99.99900817871094,338.20749378777225,99.74900817871094,887.1734008789062,False,859.4495239257812
CaEParam,balance,DBCE,DBCE,0,17,99.99900817871094,262.14202395393744,99.74900817871094,393.39984130859375,False,365.1531677246094
